GRB Name;Trigger Time;BAT Ra;BAT Dec;BAT T90;BAT Fluence;XRTSpectral Index;Ra;Dec;Normalised Duration;source
120804A;1344034454.0;233.95115:35:48.2;-28.768-28:46:04.8;0.81;8.8+/-0.5;2.05668;234.107;-29.056;0.81;swift
120803B;1343984766.0;314.22320:56:53.5;53.29853:17:52.8;37.5;25+/-5;1.03923;314.432;53.831;37.5;swift
120803A;1343971336.0;269.53117:58:07.4;-6.733-06:43:58.8;10.0;3.0+/-0.5;0.986823;269.711;-6.8;10.0;swift
120802A;1343887251.0;44.83302:59:19.9;13.76213:45:43.2;50;19+/-3;2.03526;44.863;13.9;50;swift
120729A;1343552174.0;13.07800:52:18.7;49.93649:56:09.6;71.5;24+/-1;1.8831;13.087;50.435;71.5;swift
120728A;1343507111.0;137.08509:08:20.4;-54.437-54:26:13.2;22.06;24+/-2;2.64225;137.176;-54.981;22.06;swift
120724A;1343104742.0;245.19316:20:46.3;3.53503:32:06;72.8;6.8+/-1.1;1.86175;245.356;3.57;72.8;swift
120722A;1342954406.0;230.48915:21:57.4;13.24913:14:56.4;42.4;12+/-2;2.62119;230.643;13.381;42.4;swift
120716A;1342451104.0;313.08920:52:21.4;9.55809:33:28.8;;;;313.298;9.654;;swift
120714B;1342293526.0;355.41223:41:38.9;-46.196-46:11:45.6;159;12+/-1;1.94091;355.649;-46.658;159;swift
120714A;1342244806.0;167.97511:11:54;-30.625-30:37:30;16.2;8.2+/-0.9;2.81977;168.087;-30.931;16.2;swift
120712A;1342093347.0;169.59811:18:23.5;-20.051-20:03:03.6;14.7;18+/-1;2.20811;169.711;-20.252;14.7;swift
120711B;1341969062.0;331.71022:06:50.4;59.99659:59:45.6;60;5.6+/-1.2;1.45434;331.931;60.596;60;swift
120711A;1341967488.0;94.70306:18:48.7;-71.001-71:00:03.6;;;1.84923;94.766;-71.711;;swift
120703A;1341329122.0;339.35322:37:24.7;-29.726-29:43:33.6;25.2;35+/-1;1.9962;339.579;-30.023;25.2;swift
120701A;1341093600.0;80.33805:21:21.1;-58.531-58:31:51.6;13.8;14+/-1;2.04485;80.392;-59.116;13.8;swift
120630A;1341007200.0;352.30023:29:12;42.49542:29:42;0.6;0.61+/-0.14;1.75873;352.535;42.92;0.6;swift
120624B;1340569191.0;170.88611:23:32.6;8.93308:55:58.8;>192;283+/-4;2.71829;171.0;9.022;>192;swift
120612A;1339459519.0;126.72308:26:53.5;-17.598-17:35:52.8;90;13+/-1;2.19484;126.807;-17.774;90;swift
120521C;1337635327.0;214.28814:17:09.1;42.14442:08:38.4;26.7;11+/-1;1.84163;214.431;42.565;26.7;swift
120521B;1337584068.0;197.01613:08:03.8;-52.742-52:44:31.2;31.4;15+/-1;2.00084;197.147;-53.269;31.4;swift
120521A;1337572782.0;148.69209:54:46.1;-49.422-49:25:19.2;0.45;0.78+/-0.11;1.84175;148.791;-49.916;0.45;swift
120514A;1336950769.0;283.00218:52:00.5;-4.258-04:15:28.8;164.4;28+/-2;2.14717;283.191;-4.301;164.4;swift
120422A;1335071523.0;136.91509:07:39.6;13.97413:58:26.4;5.35;2.3+/-0.4;2.32199;137.006;14.114;5.35;swift
120419A;1334832985.0;187.402412:29:36.6;-63.017-63:01:01.2;;;;187.527;-63.647;;swift
